entrez	symbol	chr_pos	full_name	probe_id	ENST
36	ACADSB	10q26.13	acyl-CoA dehydrogenase, short/branched chain	3268588	ENST00000358776
37	ACADVL	17p13.1	acyl-CoA dehydrogenase, very long chain	3708306	ENST00000322910
38	ACAT1	11q22.3	acetyl-CoA acetyltransferase 1	3347615	ENST00000265838
39	ACAT2	6q25.3	acetyl-CoA acetyltransferase 2	2934131	ENST00000367048
40	ACCN1	17q12	amiloride-sensitive cation channel 1, neuronal	3752888	ENST00000225823
41	ACCN2	12q12	amiloride-sensitive cation channel 2, neuronal	3414351	ENST00000228468
43	ACHE	7q22	acetylcholinesterase	3064361	ENST00000302913
47	ACLY	17q21.2	ATP citrate lyase	3757433	ENST00000352035
48	ACO1	9p22-q32|9p21.1	aconitase 1, soluble	3166477	ENST00000379923
49	ACR	22q13-qter|22q13.33	acrosin	3951117	ENST00000216139
50	ACO2	22q11.2-q13.31|22q13.2	aconitase 2, mitochondrial	3946889	ENST00000216254
51	ACOX1	17q24-q25|17q25.1	acyl-CoA oxidase 1, palmitoyl	3771215	ENST00000301608
52	ACP1	2p25	acid phosphatase 1, soluble	2466141	ENST00000272065
53	ACP2	11p11.2|11p12-p11	acid phosphatase 2, lysosomal	3372097	ENST00000256997
54	ACP5	19p13.3-p13.2	acid phosphatase 5, tartrate resistant	3851072	ENST00000438664
55	ACPP	3q21-q23	acid phosphatase, prostate	2642720	ENST00000336375
56	ACRV1	11q23-q24	acrosomal vesicle protein 1	3396660	ENST00000315608
58	ACTA1	1q42.13	actin, alpha 1, skeletal muscle	2459837	ENST00000366684
59	ACTA2	10q23.3	actin, alpha 2, smooth muscle, aorta	3299504	ENST00000224784
60	ACTB	7p22	actin, beta	3036924	ENST00000331789
70	ACTC1	15q11-q14	actin, alpha, cardiac muscle 1	3617719	ENST00000290378
71	ACTG1	17q25	actin, gamma 1	3773932	ENST00000331925
72	ACTG2	2p13.1	actin, gamma 2, smooth muscle, enteric	2489007	ENST00000409624
81	ACTN4	19q13	actinin, alpha 4	3832643	ENST00000252699
86	ACTL6A	3q26.33	actin-like 6A	2654023	ENST00000392662
87	ACTN1	14q24.1-q24.2|14q24|14q22-q24	actinin, alpha 1	3569814	ENST00000394419
88	ACTN2	1q42-q43	actinin, alpha 2	2386943	ENST00000366578
89	ACTN3	11q13.1	actinin, alpha 3	3336324	ENST00000511191
90	ACVR1	2q23-q24	activin A receptor, type I	2582562	ENST00000263640
91	ACVR1B	12q13	activin A receptor, type IB	3415148	ENST00000257963
92	ACVR2A	2q22.3	activin A receptor, type IIA	2509557	ENST00000241416
93	ACVR2B	3p22	activin A receptor, type IIB	2617752	ENST00000352511
94	ACVRL1	12q11-q14	activin A receptor type II-like 1	3415109	ENST00000267008
95	ACY1	3p21.1	aminoacylase 1	2623441	ENST00000463721
97	ACYP1	14q24.3	acylphosphatase 1, erythrocyte (common) type	3572263	ENST00000357971
98	ACYP2	2p16.2	acylphosphatase 2, muscle type	2482316	ENST00000394666
100	ADA	20q13.12	adenosine deaminase	3907011	ENST00000372874
101	ADAM8	10q26.3	ADAM metallopeptidase domain 8	3315024	NA
102	ADAM10	15q2|15q22	ADAM metallopeptidase domain 10	3626555	ENST00000260408
103	ADAR	1q21.1-q21.2	adenosine deaminase, RNA-specific	2436754	ENST00000368474
104	ADARB1	21q22.3	adenosine deaminase, RNA-specific, B1	3924041	ENST00000348831
105	ADARB2	10p15.3	adenosine deaminase, RNA-specific, B2	3273667	ENST00000381312
107	ADCY1	7p13-p12	adenylate cyclase 1 (brain)	3000342	ENST00000297323
108	ADCY2	5p15.3	adenylate cyclase 2 (brain)	2800711	ENST00000338316
109	ADCY3	2p23.3	adenylate cyclase 3	2544484	ENST00000260600
111	ADCY5	3q13.2-q21	adenylate cyclase 5	2692319	ENST00000462833
112	ADCY6	12q12-q13	adenylate cyclase 6	3453252	ENST00000307885
113	ADCY7	16q12.1	adenylate cyclase 7	3659966	ENST00000394697
114	ADCY8	8q24	adenylate cyclase 8 (brain)	3153716	ENST00000286355
115	ADCY9	16p13.3	adenylate cyclase 9	3677913	ENST00000294016
116	ADCYAP1	18p11	adenylate cyclase activating polypeptide 1 (pituitary)	3775906	ENST00000450565
117	ADCYAP1R1	7p14	adenylate cyclase activating polypeptide 1 (pituitary) receptor type I	2995667	ENST00000304166
118	ADD1	4p16.3	adducin 1 (alpha)	2715634	ENST00000398124
119	ADD2	2p13.3	adducin 2 (beta)	2558736	ENST00000264436
120	ADD3	10q25.2	adducin 3 (gamma)	3263555	ENST00000356080
123	PLIN2	9p22.1	perilipin 2	3200648	ENST00000276914
124	ADH1A	4q23	alcohol dehydrogenase 1A (class I), alpha polypeptide	2779199	ENST00000209668
125	ADH1B	4q23	alcohol dehydrogenase 1B (class I), beta polypeptide	2779231	ENST00000305046
126	ADH1C	4q23	alcohol dehydrogenase 1C (class I), gamma polypeptide	2779271	ENST00000305046
127	ADH4	4q21-q24|4q22	alcohol dehydrogenase 4 (class II), pi polypeptide	2779124	ENST00000265512
128	ADH5	4q23	alcohol dehydrogenase 5 (class III), chi polypeptide	2779095	NA
130	ADH6	4q23	alcohol dehydrogenase 6 (class V)	2779163	ENST00000394899
131	ADH7	4q23-q24	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	2779302	ENST00000209665
132	ADK	10q22|10q11-q24	adenosine kinase	3252170	ENST00000372734
133	ADM	11p15.4	adrenomedullin	3320123	ENST00000278175
134	ADORA1	1q32.1	adenosine A1 receptor	2375596	ENST00000337894
135	ADORA2A	22q11.23	adenosine A2a receptor	3940099	ENST00000358654
136	ADORA2B	17p12	adenosine A2b receptor	3711869	ENST00000304222
140	ADORA3	1p13.2	adenosine A3 receptor	2427981	ENST00000369716
141	ADPRH	3q13.31-q13.33	ADP-ribosylarginine hydrolase	2638059	ENST00000478399
142	PARP1	1q41-q42	poly (ADP-ribose) polymerase 1	2458773	ENST00000366794
143	PARP4	13q11	poly (ADP-ribose) polymerase family, member 4	3505781	ENST00000381989
146	ADRA1D	20p13	adrenergic, alpha-1D-, receptor	3895891	ENST00000379453
147	ADRA1B	5q33.3	adrenergic, alpha-1B-, receptor	2837970	ENST00000306675
148	ADRA1A	8p21.2	adrenergic, alpha-1A-, receptor	3128817	ENST00000276393
150	ADRA2A	10q24-q26	adrenergic, alpha-2A-, receptor	3264059	ENST00000280155
151	ADRA2B	2p13-q13	adrenergic, alpha-2B-, receptor	2565082	ENST00000409345
152	ADRA2C	4p16	adrenergic, alpha-2C-, receptor	2716328	ENST00000330055
153	ADRB1	10q24-q26	adrenergic, beta-1-, receptor	3265140	ENST00000369295
154	ADRB2	5q31-q32	adrenergic, beta-2-, receptor, surface	2834743	ENST00000305988
155	ADRB3	8p12	adrenergic, beta-3-, receptor	4049835	ENST00000345060
156	ADRBK1	11q13.1	adrenergic, beta, receptor kinase 1	3336801	ENST00000308595
157	ADRBK2	22q11|22q12.1	adrenergic, beta, receptor kinase 2	3940631	ENST00000324198
158	ADSL	22q13.1|22q13.2	adenylosuccinate lyase	3946351	ENST00000216194
159	ADSS	1cen-q12	adenylosuccinate synthase	2464353	ENST00000366535
160	AP2A1	19q13.33	adaptor-related protein complex 2, alpha 1 subunit	3838886	ENST00000359032
161	AP2A2	11p15.5	adaptor-related protein complex 2, alpha 2 subunit	3316447	ENST00000448903
162	AP1B1	22q12|22q12.2	adaptor-related protein complex 1, beta 1 subunit	3956781	ENST00000357586
163	AP2B1	17q11.2-q12	adaptor-related protein complex 2, beta 1 subunit	3718682	ENST00000312678
164	AP1G1	16q23	adaptor-related protein complex 1, gamma 1 subunit	3697799	ENST00000299980
165	AEBP1	7p13	AE binding protein 1	2999755	ENST00000223357
166	AES	19p13.3	amino-terminal enhancer of split	3846114	ENST00000327141
167	CRISP1	6p21.3	cysteine-rich secretory protein 1	2956593	ENST00000335847
172	AFG3L1P	16q24.3	AFG3 ATPase family gene 3-like 1 (S. cerevisiae), pseudogene	3674166	NA
173	AFM	4q13.3	afamin	2731257	ENST00000226355
174	AFP	4q11-q13	alpha-fetoprotein	2731230	ENST00000395792
175	AGA	4q34.3	aspartylglucosaminidase	2794902	ENST00000264595
176	ACAN	15q26.1	aggrecan	3607332	ENST00000352105
177	AGER	6p21.3	advanced glycosylation end product-specific receptor	2949830	ENST00000451115
178	AGL	1p21	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase	2348634	ENST00000294724
181	AGRP	16q22	agouti related protein homolog (mouse)	3695726	ENST00000290953
182	JAG1	20p12.1-p11.23	jagged 1	3897505	ENST00000254958
183	AGT	1q42-q43	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	2460296	ENST00000366667
185	AGTR1	3q24	angiotensin II receptor, type 1	2647015	ENST00000474935
186	AGTR2	Xq22-q23	angiotensin II receptor, type 2	3988152	ENST00000371906
187	APLNR	11q12	apelin receptor	3373630	ENST00000257254
189	AGXT	2q37.3	alanine-glyoxylate aminotransferase	2535976	ENST00000307503
190	NR0B1	Xp21.3	nuclear receptor subfamily 0, group B, member 1	4003857	ENST00000378970
191	AHCY	20cen-q13.1	adenosylhomocysteinase	3903361	ENST00000217426
196	AHR	7p15	aryl hydrocarbon receptor	2991233	ENST00000242057
197	AHSG	3q27	alpha-2-HS-glycoprotein	2656598	ENST00000411641
199	AIF1	6p21.3	allograft inflammatory factor 1	2902444	ENST00000376059
203	AK1	9q34.1	adenylate kinase 1	3226138	ENST00000373176
204	AK2	1p34	adenylate kinase 2	2405364	ENST00000373449
205	AK4	1p31.3	adenylate kinase 4	2340315	ENST00000327299
207	AKT1	14q32.32|14q32.32	v-akt murine thymoma viral oncogene homolog 1	3581132	ENST00000349310
208	AKT2	19q13.1-q13.2	v-akt murine thymoma viral oncogene homolog 2	3862471	ENST00000392038
210	ALAD	9q33.1	aminolevulinate dehydratase	3221395	ENST00000409155
211	ALAS1	3p21.1	aminolevulinate, delta-, synthase 1	2623515	ENST00000394965
212	ALAS2	Xp11.21	aminolevulinate, delta-, synthase 2	4009849	ENST00000330807
213	ALB	4q13.3	albumin	2731192	ENST00000295897
214	ALCAM	3q13.1	activated leukocyte cell adhesion molecule	2634494	ENST00000306107
215	ABCD1	Xq28	ATP-binding cassette, sub-family D (ALD), member 1	3995848	ENST00000218104
216	ALDH1A1	9q21.13	aldehyde dehydrogenase 1 family, member A1	3209726	ENST00000297785
217	ALDH2	12q24.2	aldehyde dehydrogenase 2 family (mitochondrial)	3432090	ENST00000261733
218	ALDH3A1	17p11.2	aldehyde dehydrogenase 3 family, member A1	3748957	ENST00000225740
219	ALDH1B1	9p11.1	aldehyde dehydrogenase 1 family, member B1	3169331	ENST00000377698
220	ALDH1A3	15q26.3	aldehyde dehydrogenase 1 family, member A3	3611625	ENST00000329841
221	ALDH3B1	11q13	aldehyde dehydrogenase 3 family, member B1	3337329	NA
222	ALDH3B2	11q13	aldehyde dehydrogenase 3 family, member B2	3379091	ENST00000349015
223	ALDH9A1	1q23.1	aldehyde dehydrogenase 9 family, member A1	2365181	ENST00000354775
224	ALDH3A2	17p11.2	aldehyde dehydrogenase 3 family, member A2	3714068	ENST00000339618
225	ABCD2	12q11-q12	ATP-binding cassette, sub-family D (ALD), member 2	3450861	ENST00000308666
226	ALDOA	16p11.2	aldolase A, fructose-bisphosphate	3311638	ENST00000338110
229	ALDOB	9q21.3-q22.2	aldolase B, fructose-bisphosphate	3218077	ENST00000374855
230	ALDOC	17cen-q12	aldolase C, fructose-bisphosphate	3750767	ENST00000395321
231	AKR1B1	7q35	aldo-keto reductase family 1, member B1 (aldose reductase)	3073981	ENST00000285930
238	ALK	2p23	anaplastic lymphoma receptor tyrosine kinase	2546409	ENST00000389048
239	ALOX12	17p13.1	arachidonate 12-lipoxygenase	3708160	ENST00000251535
240	ALOX5	10q11.2	arachidonate 5-lipoxygenase	3244622	ENST00000374391
241	ALOX5AP	13q12	arachidonate 5-lipoxygenase-activating protein	3484060	ENST00000380490
242	ALOX12B	17p13.1	arachidonate 12-lipoxygenase, 12R type	3744072	ENST00000319144
246	ALOX15	17p13.3	arachidonate 15-lipoxygenase	3742212	ENST00000293761
247	ALOX15B	17p13.1	arachidonate 15-lipoxygenase, type B	3709417	ENST00000380183
248	ALPI	2q37.1	alkaline phosphatase, intestinal	2532314	ENST00000295463
249	ALPL	1p36.12	alkaline phosphatase, liver/bone/kidney	2324416	ENST00000374840
250	ALPP	2q37	alkaline phosphatase, placental	2532272	ENST00000392027
251	ALPPL2	2q37	alkaline phosphatase, placental-like 2	2532294	ENST00000295453
257	ALX3	1p13.3	ALX homeobox 3	2427342	ENST00000369792
258	AMBN	4q21	ameloblastin (enamel matrix protein)	4047460	ENST00000322937
259	AMBP	9q32-q33	alpha-1-microglobulin/bikunin precursor	3221800	ENST00000265132
262	AMD1	6q21	adenosylmethionine decarboxylase 1	2921296	ENST00000368885
265	AMELX	Xp22.31-p22.1	amelogenin, X-linked	3968748	ENST00000380712
266	AMELY	Yp11.2	amelogenin, Y-linked	4033748	ENST00000215479
267	AMFR	16q21	autocrine motility factor receptor	3692856	ENST00000290649
268	AMH	19p13.3	anti-Mullerian hormone	3816359	ENST00000221496
269	AMHR2	12q13	anti-Mullerian hormone receptor, type II	3415988	ENST00000257863
270	AMPD1	1p13	adenosine monophosphate deaminase 1	2429235	ENST00000353928
271	AMPD2	1p13.3	adenosine monophosphate deaminase 2	2350880	ENST00000256578
272	AMPD3	11p15	adenosine monophosphate deaminase 3	3320169	ENST00000431080
273	AMPH	7p14-p13	amphiphysin	3046739	ENST00000356264
274	BIN1	2q14	bridging integrator 1	2574646	ENST00000316724
275	AMT	3p21.2-p21.1	aminomethyltransferase	2674501	ENST00000273588
280	AMY2B	1p21	amylase, alpha 2B (pancreatic)	2349402	ENST00000361355
283	ANG	14q11.1-q11.2	angiogenin, ribonuclease, RNase A family, 5	3527597	ENST00000397990
284	ANGPT1	8q23.1	angiopoietin 1	3148463	ENST00000395820
285	ANGPT2	8p23.1	angiopoietin 2	3122489	ENST00000325203
286	ANK1	8p11.1	ankyrin 1, erythrocytic	3132940	ENST00000347528
287	ANK2	4q25-q27	ankyrin 2, neuronal	2740067	ENST00000357077
288	ANK3	10q21	ankyrin 3, node of Ranvier (ankyrin G)	3290875	ENST00000280772
290	ANPEP	15q25-q26	alanyl (membrane) aminopeptidase	3638607	ENST00000300060
291	SLC25A4	4q35	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4	2754538	ENST00000281456
301	ANXA1	9q12-q21.2|9q21.13	annexin A1	3174816	ENST00000257497
302	ANXA2	15q22.2	annexin A2	3627248	ENST00000332680
303	ANXA2P1	4q31.3	annexin A2 pseudogene 1	2790109	NA
304	ANXA2P2	9p13	annexin A2 pseudogene 2	3167110	ENST00000451270
305	ANXA2P3	10q21.3	annexin A2 pseudogene 3	3249171	NA
306	ANXA3	4q21.21	annexin A3	2732844	ENST00000264908
307	ANXA4	2p13	annexin A4	2487412	ENST00000394295
308	ANXA5	4q26-q28|4q27	annexin A5	2784027	ENST00000296511
309	ANXA6	5q33.1	annexin A6	2881747	ENST00000354546
310	ANXA7	10q22.2	annexin A7	3294438	ENST00000372919
311	ANXA11	10q23	annexin A11	3297536	ENST00000438331
312	ANXA13	8q24.13	annexin A13	3151719	ENST00000262219
313	AOAH	7p14-p12	acyloxyacyl hydrolase (neutrophil)	3046062	ENST00000258749
314	AOC2	17q21	amine oxidase, copper containing 2 (retina-specific)	3722182	ENST00000253799
316	AOX1	2q33	aldehyde oxidase 1	2522247	ENST00000374700
317	APAF1	12q23	apoptotic peptidase activating factor 1	3427876	ENST00000359972
318	NUDT2	9p13	nudix (nucleoside diphosphate linked moiety X)-type motif 2	3167383	ENST00000379158
319	APOF	12q13.3	apolipoprotein F	3457794	ENST00000398189
320	APBA1	9q13-q21.1	amyloid beta (A4) precursor protein-binding, family A, member 1	3208765	ENST00000265381
321	APBA2	15q11-q12	amyloid beta (A4) precursor protein-binding, family A, member 2	3585905	ENST00000219865
322	APBB1	11p15	amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)	3360826	ENST00000389906
323	APBB2	4p13	amyloid beta (A4) precursor protein-binding, family B, member 2	2766893	ENST00000295974
324	APC	5q21-q22	adenomatous polyposis coli	2824198	ENST00000457016
325	APCS	1q21-q23	amyloid P component, serum	2362651	ENST00000255040
326	AIRE	21q22.3	autoimmune regulator	3923608	ENST00000291582
327	APEH	3p21.31	N-acylaminoacyl-peptide hydrolase	2622196	ENST00000296456
328	APEX1	14q11.2	APEX nuclease (multifunctional DNA repair enzyme) 1	3527493	ENST00000216714
329	BIRC2	11q22	baculoviral IAP repeat-containing 2	3346584	ENST00000227758
330	BIRC3	11q22	baculoviral IAP repeat-containing 3	3346548	ENST00000263464
331	XIAP	Xq25	X-linked inhibitor of apoptosis	3989678	ENST00000371199
332	BIRC5	17q25	baculoviral IAP repeat-containing 5	3736290	ENST00000350051
333	APLP1	19q13.1	amyloid beta (A4) precursor-like protein 1	3830961	ENST00000221891
334	APLP2	11q23-q25|11q24	amyloid beta (A4) precursor-like protein 2	3356115	ENST00000263574
335	APOA1	11q23-q24	apolipoprotein A-I	3392986	ENST00000375323
336	APOA2	1q21-q23	apolipoprotein A-II	2440730	ENST00000367990
337	APOA4	11q23	apolipoprotein A-IV	3392973	ENST00000357780
338	APOB	2p24-p23	apolipoprotein B (including Ag(x) antigen)	2543163	ENST00000233242
339	APOBEC1	12p13.1	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1	3442752	ENST00000229304
342	APOC1P1	19q13.2	apolipoprotein C-I pseudogene 1	3835891	ENST00000252491
343	AQP8	16p12	aquaporin 8	3653677	ENST00000219660
344	APOC2	19q13.2	apolipoprotein C-II	3835923	ENST00000252490
345	APOC3	11q23.1-q23.2	apolipoprotein C-III	3350655	ENST00000227667
346	APOC4	19q13.2	apolipoprotein C-IV	3835911	ENST00000436871
347	APOD	3q26.2-qter	apolipoprotein D	4054204	ENST00000343267
348	APOE	19q13.2	apolipoprotein E	3835879	ENST00000252486
350	APOH	17q23-qter	apolipoprotein H (beta-2-glycoprotein I)	3767709	ENST00000205948
351	APP	21q21.2|21q21.3	amyloid beta (A4) precursor protein	3927226	ENST00000357903
353	APRT	16q24	adenine phosphoribosyltransferase	3704495	ENST00000378364
354	KLK3	19q13.41	kallikrein-related peptidase 3	3839538	ENST00000360617
355	FAS	10q24.1	Fas (TNF receptor superfamily, member 6)	3257098	ENST00000355740
356	FASLG	1q23	Fas ligand (TNF superfamily, member 6)	2367599	ENST00000367721
357	SHROOM2	Xp22.3	shroom family member 2	3968303	ENST00000380913
358	AQP1	7p14	aquaporin 1 (Colton blood group)	2995589	ENST00000311813
359	AQP2	12q12-q13	aquaporin 2 (collecting duct)	3414296	ENST00000199280
360	AQP3	9p13	aquaporin 3 (Gill blood group)	3203569	ENST00000297991
361	AQP4	18q11.2-q12.1	aquaporin 4	3802396	ENST00000383168
362	AQP5	12q13	aquaporin 5	3414315	ENST00000293599
363	AQP6	12q13	aquaporin 6, kidney specific	3414326	ENST00000315520
364	AQP7	9p13	aquaporin 7	3203524	ENST00000297988
366	AQP9	15q	aquaporin 9	3595594	ENST00000219919
367	AR	Xq12	androgen receptor	3979912	ENST00000374690
368	ABCC6	16p13.1	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	3682182	ENST00000205557
369	ARAF	Xp11.4-p11.2	v-raf murine sarcoma 3611 viral oncogene homolog	3976299	ENST00000377045
372	ARCN1	11q23.3	archain 1	3351531	ENST00000264028
373	TRIM23	5q12.3	tripartite motif-containing 23	2859734	ENST00000231524
374	AREG	4q13-q21	amphiregulin	2731542	NA
375	ARF1	1q42	ADP-ribosylation factor 1	2383726	ENST00000272102
377	ARF3	12q13	ADP-ribosylation factor 3	3453370	ENST00000256682
378	ARF4	3p21.2-p21.1	ADP-ribosylation factor 4	2678090	ENST00000303436
379	ARL4D	17q12-q21	ADP-ribosylation factor-like 4D	3722535	ENST00000320033
381	ARF5	7q31.3	ADP-ribosylation factor 5	3022409	ENST00000000233
382	ARF6	14q21.3	ADP-ribosylation factor 6	3535000	ENST00000298316
383	ARG1	6q23	arginase, liver	2925841	ENST00000368087
384	ARG2	14q24.1	arginase, type II	3541383	ENST00000261783
387	RHOA	3p21.3	ras homolog gene family, member A	2674242	ENST00000418115
388	RHOB	2p24	ras homolog gene family, member B	2471978	ENST00000272233
389	RHOC	1p13.1	ras homolog gene family, member C	2428405	ENST00000285735
390	RND3	2q23.3	Rho family GTPase 3	2580802	ENST00000375734
391	RHOG	11p15.5-p15.4	ras homolog gene family, member G (rho G)	3360006	ENST00000396979
392	ARHGAP1	11p11.2	Rho GTPase activating protein 1	3371673	ENST00000311956
393	ARHGAP4	Xq28	Rho GTPase activating protein 4	4026842	ENST00000350060
394	ARHGAP5	14q12	Rho GTPase activating protein 5	3531479	ENST00000345122
395	ARHGAP6	Xp22.3	Rho GTPase activating protein 6	3999568	ENST00000337414
396	ARHGDIA	17q25.3	Rho GDP dissociation inhibitor (GDI) alpha	3774283	ENST00000269321
397	ARHGDIB	12p12.3	Rho GDP dissociation inhibitor (GDI) beta	3445786	ENST00000228945
398	ARHGDIG	16p13.3	Rho GDP dissociation inhibitor (GDI) gamma	3642747	ENST00000219409
399	RHOH	4p13	ras homolog gene family, member H	2724671	ENST00000381799
400	ARL1	12q23.2	ADP-ribosylation factor-like 1	3468009	ENST00000261636
401	PHOX2A	11q13.2	paired-like homeobox 2a	3381038	ENST00000298231
403	ARL3	10q23.3	ADP-ribosylation factor-like 3	3304475	ENST00000260746
405	ARNT	1q21	aryl hydrocarbon receptor nuclear translocator	2434633	ENST00000358595
406	ARNTL	11p15	aryl hydrocarbon receptor nuclear translocator-like	3321150	ENST00000389708
407	ARR3	Xcen-q21	arrestin 3, retinal (X-arrestin)	3980522	ENST00000307959
408	ARRB1	11q13	arrestin, beta 1	3382216	ENST00000393505
409	ARRB2	17p13	arrestin, beta 2	3707095	ENST00000269260
410	ARSA	22q13.31-qter|22q13.33	arylsulfatase A	3966143	ENST00000216124
411	ARSB	5q11-q13	arylsulfatase B	2863964	ENST00000264914
412	STS	Xp22.32	steroid sulfatase (microsomal), isozyme S	3967689	ENST00000217961
414	ARSD	Xp22.3	arylsulfatase D	3997738	ENST00000381154
415	ARSE	Xp22.3	arylsulfatase E (chondrodysplasia punctata 1)	3997780	ENST00000381134
416	ARSF	Xp22.3	arylsulfatase F	3967018	ENST00000359361
417	ART1	11p15	ADP-ribosyltransferase 1	3317824	ENST00000250693
419	ART3	4p15.1-p14|4p15.1-p14|4p15.1-p14	ADP-ribosyltransferase 3	2731928	ENST00000355810
420	ART4	12p13-p12	ADP-ribosyltransferase 4 (Dombrock blood group)	3445723	ENST00000228936
421	ARVCF	22q11.21	armadillo repeat gene deleted in velocardiofacial syndrome	3952956	ENST00000263207
427	ASAH1	8p22	N-acylsphingosine amidohydrolase (acid ceramidase) 1	3126087	ENST00000262097
429	ASCL1	12q23.2	achaete-scute complex homolog 1 (Drosophila)	3429008	ENST00000266744
430	ASCL2	11p15.5	achaete-scute complex homolog 2 (Drosophila)	3359224	ENST00000331289
432	ASGR1	17p13.2	asialoglycoprotein receptor 1	3743371	ENST00000269299
433	ASGR2	17p	asialoglycoprotein receptor 2	3743340	ENST00000355035
434	ASIP	20q11.2-q12	agouti signaling protein	3882823	ENST00000374954
435	ASL	7cen-q11.2	argininosuccinate lyase	3005363	ENST00000304874
439	ASNA1	19q13.3	arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)	3821847	ENST00000357332
440	ASNS	7q21.3	asparagine synthetase (glutamine-hydrolyzing)	3062576	ENST00000394309
443	ASPA	17p13.3	aspartoacylase	3706659	ENST00000263080
444	ASPH	8q12.1	aspartate beta-hydroxylase	3137530	ENST00000379454
460	ASTN1	1q25.2	astrotactin 1	2445357	ENST00000361833
462	SERPINC1	1q23-q25.1	serpin peptidase inhibitor, clade C (antithrombin), member 1	2444529	ENST00000367698
463	ZFHX3	16q22.3	zinc finger homeobox 3	3698256	ENST00000268489
466	ATF1	12q13	activating transcription factor 1	3414695	ENST00000262053
467	ATF3	1q32.3	activating transcription factor 3	2379132	ENST00000426071
468	ATF4	22q13.1	activating transcription factor 4 (tax-responsive enhancer element B67)	3945914	ENST00000337304
471	ATIC	2q35	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	2526759	ENST00000236959
472	ATM	11q22-q23	ataxia telangiectasia mutated	3347658	ENST00000278616
473	RERE	1p36.23	arginine-glutamic acid dipeptide (RE) repeats	2395245	ENST00000440864
474	ATOH1	4q22	atonal homolog 1 (Drosophila)	2736224	ENST00000306011
475	ATOX1	5q32	ATX1 antioxidant protein 1 homolog (yeast)	2882196	ENST00000313115
476	ATP1A1	1p21	ATPase, Na+/K+ transporting, alpha 1 polypeptide	2353477	ENST00000295598
477	ATP1A2	1q21-q23	ATPase, Na+/K+ transporting, alpha 2 polypeptide	2362892	ENST00000361216
478	ATP1A3	19q13.31	ATPase, Na+/K+ transporting, alpha 3 polypeptide	3863342	ENST00000302102
